URL,Lyrics,Title,Album Title
https://mojim.com/cny100019x82x1.htm,"
王菲






归途有风


电影 万里归途 主题曲
作词：唐恬@勇士音乐
作曲：钱雷@勇士音乐
编曲：钱雷@勇士音乐
要 穿过那 世间的火
要 尝过一生 炙热的默
有多少 不得已 来不及 还流浪在梦里
才可明白 为何而来
要 放开过 勿放的手
要 千山万水 懂得泪流
要风起 要别离 要万里 要归期不由你
才可明白 为何回头
谁在唤我
唤我的名字 我的远走
我没说的 爱与歉疚
请让风声 带我回家
让它告诉我
抉择多难 都已做过
不问得失 无悔对错
让月光 带我回家
让来路 带我回家吧 归途中
别睡 要走向篝火 满身风沙的人呐
把行囊 都烧了 爱仅需空着两手
别退 要走向脆弱 听见哭声的人呐
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
门背后 是谁呢 拥抱着 你的噩梦
Wu
离开的 会重逢
谁在唤我
唤我的名字 我的远走
我没说的 爱与歉疚
一声声 带我回家
记得告诉我
该我赴的约 都已赴过
不问得失 无悔对错
让月光 带我回家 牵着我的手
让来路 带我回来吧 归途上 总有风
泪与泪重逢
唯有爱证明活着
四月 燕子又飞过 夏夜会复活蝉鸣
归来吧 归来吧 不管你失去什么
冬天 升起了烟火 就原谅大雪寒冰
归来吧 归来吧 从荒漠 里奔向我
Wu
归途上 总有风
听见了吗 要走向篝火
别睡着了 这不是尽头



",归途有风,归途有风
https://mojim.com/cny100019x81x1.htm,"
王菲






如愿


作词：唐恬
作曲：钱雷
你是 遥遥的路
山野大雾里的灯
我是孩童啊 走在你的眼眸
你是 明月清风
我是你照拂的梦
见与不见都一生与你相拥
而我将爱你所爱的人间
愿你所愿的笑颜
你的手我蹒跚在牵
请带我去明天
如果说你曾苦过我的甜
我愿活成你的愿
愿不枉啊 愿勇往啊
这盛世每一天
你是岁月长河 星火燃起的天空
我是仰望者 就把你唱成歌
你是我之所来 也是我心之所归
世间所有路都将与你相逢
而我将爱你所爱的人间
愿你所愿的笑颜
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
你的手我蹒跚在牵 请带我去明天
如果说你曾苦过我的甜
我愿活成你的愿
愿不枉啊 愿勇往啊
这盛世每一天
山河无恙 烟火寻常
可是你如愿的眺望
孩子们啊 安睡梦乡
像你深爱的那样
而我将梦你所梦的团圆
愿你所愿的永远 走你所走的长路
这样的爱你啊
我也将见你未见的世界 写你未写的诗篇
天边的月 心中的念
你永在我身边
与你相约 一生清澈
如你年轻的脸
[ti:如愿]
[ar:王菲]
[al:如愿]
[by:CM-FANG]
[00:01.50]《歌名：如愿》
[00:05.00]《原唱：王菲》
[00:08.50]《专辑：如愿》
[00:12.00]《发行：2021-09》
[00:15.50]《作词：唐恬》
[00:19.00]《作曲：钱雷》
[00:22.50]《LRC：CM-FANG》
[00:27.82]◆☆◇
[00:30.59]~你是～遥遥的路~～
[00:34.55]~山野大雾里~的灯～～
[00:38.61]☆我是孩童啊~
[00:41.60]~走在你的~眼眸～
[00:44.96]~你是～明月清风~～
[00:48.81]~我是你照拂~的梦～～
[00:53.17]☆见与不见都~
[00:55.96]~一生与你~相拥～
[00:59.31]~而我将爱你所爱的人间~
[01:03.22]～愿你所愿的笑颜~
[01:06.75]~你的手我蹒跚在牵~
[01:10.42]~请带~我去~明天~～
[01:13.88]~如果说你曾苦过我的甜~
[01:17.62]～我愿活成你的愿~
[01:21.31]~愿不枉啊愿勇往啊~
[01:24.96]~这盛世每~一天～～～
[01:29.97]《歌名：如愿》
[01:33.69]《原唱：王菲》
[01:37.18]《专辑：如愿》
[01:39.93]《发行：2021-09》
[01:43.52]《作词：唐恬》
[01:45.57]《作曲：钱雷》
[01:49.03]《LRC：CM-FANG》
[01:56.53]◆☆◇
[01:59.01]~你是～岁月长河~～
[02:02.63]~星火燃起的~天空～～
[02:06.98]☆我是仰望者~
[02:09.91]~就把你唱~成歌～
[02:13.35]~你是～我之所来~～
[02:17.16]~也是我心之~所归～～
[02:21.45]☆世间所有路~
[02:24.42]~都将与你~相逢～
[02:27.82]~而我将爱你所爱的人间~
[02:31.50]～愿你所愿的笑颜~
[02:35.11]~你的手我蹒跚在牵~
[02:38.77]~请带~我去~明天~～
[02:42.32]~如果说你曾苦过我的甜~
[02:46.00]～我愿活成你~的愿~
[02:49.60]~愿不枉啊愿勇往啊~
[02:53.25]~这盛世每~一天～～～
[02:58.41]~山河无恙～~烟火寻常～
[03:02.06]~可是你如愿的眺望～
[03:05.76]~孩子们啊～~安睡梦乡～
[03:09.31]~像你深爱的~那样～～～
[03:14.76]～◆☆◇~而我将
[03:19.42]梦你所梦的团圆～
[03:22.75]愿你所愿的永~远～
[03:26.41]走你所走的长~路~
[03:29.34]~这样的爱~你啊～
[03:32.72]~我也将见你未见的世界~
[03:36.52]～写你未写的~诗篇~
[03:40.30]~天边的月~心中的念~
[03:43.73]~你永在我~身边～～～
[03:49.00]~与你相~约~一生清澈~
[03:53.50]~如你年轻～的～~脸～
[03:59.66]～～☆◇☆
[04:04.23]《歌名：如愿》
[04:08.00]《原唱：王菲》
[04:11.00]《LRC：CM-FANG》
[04:14.50]《2023/04/20》
[04:17.50]


 感谢 
洛堂
 
 提供歌词
 感谢 
老方
 
 提供动态歌词

",如愿,如愿
https://mojim.com/cny100019x79x1.htm,"
王菲






偶遇


电影 邪不压正 宣传曲
作词：林珺帆
作曲：Eric Coates
编曲：张亚东
命运若是风 欲望是片云 爱情是场雷雨
必然的偶遇 不计较毁誉 灵魂滋润身躯
甜蜜的妄语 曾死生相许 谁忍心要断句
相逢的露水 让莲叶太累 也就还给烟雨
情死于无趣 爱生于无惧 生死也是结局
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
沉淀了情绪 升华了情欲 要往哪里去
无妄的多情 不忘也多余 不如不散不聚
相爱无痕迹 相忘得无忧无虑
情死于无趣 爱生于无惧 生死也是结局
沉淀了情绪 升华了情欲 要往哪里去
无妄的多情 不忘也多余 不如不散不聚
相爱无痕迹 相忘得无忧无虑
伤害无痕迹 痛苦得无忧无虑



",偶遇,电影 邪不压正
https://mojim.com/cny100019x77x1.htm,"
王菲






无问西东


作词：彭青
作曲：彭青
编曲：彭飞
谁的手 总紧紧牵住我的手
不回头 在人群沙漠中漂泊
你别用 含着泪的眼睛看我
听蝉声沉落
请抬头 今宵露重
是谁用 带露的草叶医治我
愿共我 顶风暴泥泞中跋涉
是谁说 经过的路都是必需
磨难尽收获
山云做幕 攀岩观火
请由我引吭高歌
面迎啊海上风
在世界之外 在时间之中
无问西东
就奋身做个英雄
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
不枉那青春勇
愿心之自由 共天地俊秀
有情有梦
是谁用 带露的草叶医治我
愿共我 顶风暴泥泞中跋涉
是谁说 经过的路都是必需
磨难尽收获
山云做幕 攀岩观火
请由我引吭高歌
面迎啊海上风
在世界之外 在时间之中
无问西东
就奋身做个英雄
不枉那青春勇
愿心之自由 共天地俊秀
有情有梦


 感谢 
rlo84
 
 提供歌词

",无问西东,电影《无问西东》推广曲
https://mojim.com/cny100019x75x1.htm,"
王菲






你在终点等我


作词：姚若龙
作曲：陈小霞
编曲：赵兆
监制：张亚东
是你给了我 一把伞
撑住倾盆 撒落的孤单
所以好想送你 一弯河岸
洗涤 腐蚀心灵的遗憾
给你 我所有的温暖
脱下唯一 挡风的衣衫
思念刮过背脊 打着冷颤
眼神仍旧为你 而点燃
我一直追寻着 你心情的足迹
被所有的人误解 都要理解你
准备好 当擦亮你天际的浮云
你却在终点等我 笑里有雨滴
我甘愿成全了 你珍藏的往昔
只想你找回 让你像你的热情
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
然后就拖着自己 到山城隐居
你却在终点等我 住进你心里
没有你的地方 都是他乡
没有你的旅行 都是流浪
那些兜兜转转的曲折与感伤 都是翅膀
都为了飞来 你肩上
我一直追寻着 你心情的足迹
被所有的人误解 都要理解你
准备好 当擦亮你天际的浮云
你却在终点等我 笑里有雨滴
我甘愿成全了 你珍藏的往昔
只想你找回 让你像你的热情
然后就拖着自己 到山城隐居
你却在终点等我 住进你心里
[00:00.00]王菲 - 你在终点等我
[00:03.11]词：姚若龙　曲：陈小霞
[00:11.18]
[00:26.35]是你给了我 一把伞
[00:30.86]撑住倾盆 撒落的孤单
[00:36.98]
[00:38.44]所以好想送你 一弯河岸
[00:42.70]洗涤 腐蚀心灵的遗憾
[00:50.33]
[00:52.22]给你 我所有的温暖
[00:56.78]脱下唯一 挡风的衣衫
[01:02.85]
[01:04.41]思念刮过背脊 打着冷颤
[01:08.54]眼神仍旧为你 而点燃
[01:16.29]
[01:17.02]我一直追寻着 你心情的足迹
[01:24.27]被所有的人误解 都要理解你
[01:30.35]准备好 当擦亮你天际的浮云
[01:37.15]你却在终点等我 笑里有雨滴
[01:43.07]
[01:44.78]我甘愿成全了 你珍藏的往昔
[01:51.84]只想你找回 让你像你的热情
[01:57.81]然后就拖着自己 到山城隐居
[02:04.73]你却在终点等我 住进你心里
[02:11.20]
[02:41.86]没有你的地方 都是他乡
[02:48.43]没有你的旅行 都是流浪
[02:53.52]
[02:54.96]那些兜兜转转的曲折与感伤 都是翅膀
[03:01.60]都为了飞来 你肩上
[03:06.24]
[03:07.71]我一直追寻着 你心情的足迹
[03:14.55]被所有的人误解 都要理解你
[03:20.56]准备好 当擦亮你天际的浮云
[03:27.43]你却在终点等我 笑里有雨滴
[03:33.31]
[03:35.15]我甘愿成全了 你珍藏的往昔
[03:42.07]只想你找回 让你像你的热情
[03:48.15]然后就拖着自己 到山城隐居
[03:54.97]你却在终点等我 住进你心里
[04:05.30]


 感谢 
Janet
 
 提供歌词
 感谢 
小陈先生
 
成明星Beyonds
 
 修正歌词
 
友站连结：
 
Beyonds' weibo
　

",你在终点等我,电影《从你的全世界路过》片尾曲
https://mojim.com/cny100019x73x1.htm,"
王菲






敷衍


作词：林夕
作曲：黄家强
编曲：Adrian Chan
本想好好的伤感　想放任　但是没泪痕
想发问　却没有下文　真想好好的相爱
想以后　但是没现在　想昨日　却面对未来
我没有什么　什么也无常　我没有问你
怎么你问我　我想怎样
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
我世界纵没理想　对你却有着妄想
你要勉强　敷衍著　敷衍著
我对你纵没妄想　却要替快乐设想
我会勉强　敷衍著　敷衍著
真想好好的相拥　想发梦　但是没内容
想叫嚷　却没有立场　好想好好的　好好的
想放浪　但是没事忙　想快乐
却没有蜜糖


 感谢 
Lion
 
 提供歌词

",敷衍,敷衍
https://mojim.com/cny100019x73x2.htm,"
王菲






暗涌


作词：林夕
作曲：陈辉阳
编曲：陈辉阳
就算天空再深　看不出裂痕　眉头仍聚满密云
就算一屋暗灯　照不穿我身　仍可反映你心
让这口烟跳升　我身躯下沉　曾多么想多么想贴近
你的心和眼口和耳亦没缘份　我都捉不紧
害怕悲剧重演　我的命中命中越美丽的东西我越不可碰
历史在重演　这么烦嚣城中　没理由相恋可以没有暗涌
其实我再去爱惜你又有何用　难道这次我抱紧你未必落空
仍静候着你说我别错用神什么我都有预感
然后睁不开两眼　看命运光临
然后天空又再涌起密云


 感谢 
Lion
 
 提供歌词

",暗涌,敷衍
https://mojim.com/cny100019x73x3.htm,"
王菲






心惊胆战


作词：林夕
作曲：张亚东
编曲：张亚东
绝对知道你是坏得起　抱不起
没法相信这样在一起　抱自己
想要走　没理由　只因你极罕有
等太久　越强求　担心有什么看漏　看漏
让我心惊胆战　等不及你表演
为你心惊胆战　抽不着你的烟
没法相信这样用心机　会欢喜
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
愉快需要气力在撑起　凭自欺
等太久　让双手　等得冷汗湿透
想要走　别转头　担心会目睹错漏　错漏
让我心惊胆战　等不及你表演
为你心惊胆战　抽不着你的烟
待到心惊胆战　声嘶力竭表演
恨到心惊胆战　这出完美表演
在这天　差点　差点没有这天


 感谢 
Lion
 
 提供歌词

",心惊胆战,敷衍
https://mojim.com/cny100019x73x4.htm,"
王菲






守护天使


作词：林夕
作曲：黄家强
编曲：Adrian Chan
天使　在你　背后那样模糊
天使　是我　你或会未在乎
能够为你守护　置自己于不顾
全意为你守护　那是我天赋
天使　为你　你没责任动情
天使　是我　背负昨日罪名
谁叫上帝公平　要做伟大事情
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
才会让我光明　处罚我曾经　一点都不神圣
(也许这天使不够好)时刻靠在你路途
(路过了但你未必知道)只要天空未老
(老死了跟你都美好)耗损我亦但求
(但你永未发现我的记号)　祝你好
差的给我好的给你收起　当天要塌下给你戒备
光的给你灰的给我担起　即使你拒绝因你我堕地
恋恋地 天使般守护你


 感谢 
Lion
 
 提供歌词

",守护天使,敷衍
https://mojim.com/cny100019x73x5.htm,"
王菲






守时


作词：林夕
作曲：陈小霞
编曲：Alex San
可以　如果你愿意
就算这种感觉　来得太迟
从来未说出片言只字
写在我手　随我血脉飞驰
一次　无须有下次
让我安心听你　重温往时
尤其是你的动人故事
请让我知　何事美丽至此
情缘总不会准时　若真的可以
能和你未一起便白头　未算迟
情人都不爱守时　或者总可以
能容我尽情地开心一次
请你　如果你愿意
旧照片都给我　弥补往年
还未遇上的可爱画面
空白那篇　陪我笑着失眠
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
可以　如果你愿意
让我欣赏一遍　纯真少年
成熟后那张动人笑脸
怎样发展　眉目有何变迁
情缘总不会准时　若真的可以
能和你未一起便白头　未算迟
情人都不爱守时　或者总可以
能容我尽情地开心一次
情缘总不会准时　若真的可以
能和你未一起便白头　未算迟
情人都不爱守时　或者总可以
能容我尽情地开心一次
情缘总不会准时　若真的可以
能和你未一起便白头　未算迟
情人都不爱守时　或者总可以
能容我尽情地开心一次


 感谢 
Lion
 
 提供歌词
 感谢 
过路客
 
 修正歌词

",守时,敷衍
